StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_4,Q5_5,Q5_6,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a:,Do your students practice critical reading skills in your courses?,In what way is critical reading emphasized in your course(s)?,"Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - most, if not all, of the important details","Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - a moderate amount of the important details","Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - none or almost none of the important details","What is the percentage of students in your course(s), with moderate critical reading skills, who might improve to an excellent critical reading skill level?","What is the percentage of students in your course(s), with poor critical reading skills, who might improve to at least a moderate critical reading skill level?",How likely do you think an emphasis on critical reading would significantly benefit Florida Poly students?,How you think an emphasis on critical reading would affect Florida Poly students’ employability or continued education post-graduation?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}"
2021-11-22 11:17:58,2021-11-22 11:21:47,IP Address,71.44.212.98,100,228,True,2021-11-22 11:21:47,R_01W2QzQnEyw1Ydz,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Interpreting word problems,15,65,20,65%,5%,Very likely,"Critical reading will deepen understanding and improve communication skills drastically "
2021-11-22 11:17:50,2021-11-22 11:22:19,IP Address,71.44.212.98,100,268,True,2021-11-22 11:22:19,R_2tsC2UmIppNXFi8,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,20,40,20,15,10,Neither likely nor unlikely,I believe concepts and implementation are more important then cutting edge theoretical knowledge.  Critical reading is important but not as high of a priority as being able to use existing knowledge.
2021-11-22 11:18:46,2021-11-22 11:24:17,IP Address,72.185.101.156,100,331,True,2021-11-22 11:24:17,R_33yyz3JIA29APuF,,,,,28.2136993408203125,-82.68090057373046875,anonymous,EN,Part Time Professor,Yes,"Through the use of peer reviewed scholarly article analysis for rhetorical strategy ",10,80,10,70%,70%,Very likely,very likely
2021-11-22 11:22:49,2021-11-22 11:25:40,IP Address,71.44.212.98,100,170,True,2021-11-22 11:25:41,R_20OTfXR9EIQpyAZ,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,2,8,90,2,80,Somewhat likely,"It could indirectly help by getting students more involved in activities that require critical reading, like research and competitions."
2021-11-22 11:25:54,2021-11-22 11:34:11,IP Address,71.44.212.98,100,497,True,2021-11-22 11:34:12,R_3Orh06LZgmikbTu,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,The assessments are designed to force students to think deeply about the subject material as opposed to replicating processes,2,20,78,90,60,Very likely,"It is absolutely essential that we emphasize critical thinking to our students. We claim to produce learners and engineers, not someone who can just do what they are told to do."
2021-11-22 11:33:13,2021-11-22 11:35:03,IP Address,71.44.212.98,100,110,True,2021-11-22 11:35:03,R_3ix0Vhwk0mXsb8A,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,5,30,65,30,15,Very likely,Would greatly improve future outcomes
2021-11-22 11:51:13,2021-11-22 11:53:36,IP Address,71.44.212.98,100,143,True,2021-11-22 11:53:37,R_1jcQlDRVTOwdiIH,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Literature reviews for semester project,60,30,10,10,5,Very likely,"The students would graduate with a broadened skillset, therefore increasing their employability"
2021-11-22 13:02:40,2021-11-22 13:05:00,IP Address,71.44.212.98,100,140,True,2021-11-22 13:05:01,R_1oAnXf26ucroRhQ,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,70,30,20%,5%,Somewhat likely,"I think it might help some, but it depends on how much the job values research."
