,Q6,Q7
,"What is the percentage of students in your course(s), with moderate critical reading skills, who might improve to an excellent critical reading skill level?","What is the percentage of students in your course(s), with poor critical reading skills, who might improve to at least a moderate critical reading skill level?"
,"{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}"
Average,44.90%,32.70%
,% m > e,% p > m
,100,50
,90,80
,90,60
,90,10
,80,100
,80,10
,75,50
,70,70
,70,10
,65,5
,60,40
,60,25
,60,5
,50,100
,50,50
,50,20
,40,55
,40,10
,30,15
,25,50
,25,30
,25,10
,25,0
,20,40
,20,20
,20,10
,20,5
,15,40
,15,10
,10,5
,5,10
,5,5
,2,80
